Nombre,TimeStamp,Tipo_Registro,Accuracy,Precision,Recall,F1_Score,Variables
NaiveBayes,20200624-184536,prediccion,0.638,0.889,0.126,0.221,SibSp Parch clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket categoria_age categoria_fare
NaiveBayes,20200624-184751,prediccion,0.638,0.889,0.126,0.221,SibSp Parch clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket categoria_age categoria_fare
NaiveBayes,20200624-195342,prediccion,0.638,0.889,0.126,0.221,SibSp Parch clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket categoria_age categoria_fare
NaiveBayes,20200624-200448,prediccion,0.615,0.889,0.063,0.118,SibSp Parch clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket categoria_age categoria_fare
NaiveBayes,20200624-200505,prediccion,0.655,0.875,0.071,0.132,SibSp Parch clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket categoria_age categoria_fare
NaiveBayes,20200624-201954,prediccion,0.655,0.875,0.071,0.132,SibSp Parch clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket categoria_age categoria_fare
NaiveBayes,20200624-202655,prediccion,0.655,0.875,0.071,0.132,SibSp Parch clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket categoria_age categoria_fare
NaiveBayes,20200624-203802,prediccion,0.647,0.889,0.068,0.127,SibSp Parch clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket categoria_age categoria_fare
NaiveBayes,20200624-203901,prediccion,0.647,0.889,0.068,0.127,SibSp Parch clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket categoria_age categoria_fare
NaiveBayes,20200624-203957,prediccion,0.647,0.889,0.068,0.127,SibSp Parch clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket categoria_age categoria_fare
NaiveBayes,20200624-204249,prediccion,0.615,0.889,0.063,0.118,SibSp Parch clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket categoria_age categoria_fare
NaiveBayes,20200624-204352,prediccion,0.655,0.875,0.071,0.132,SibSp Parch clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket categoria_age categoria_fare
NaiveBayes,20200624-204423,prediccion,0.655,0.875,0.071,0.132,SibSp Parch clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket categoria_age categoria_fare
NaiveBayes,20200624-204440,prediccion,0.647,0.889,0.068,0.127,SibSp Parch clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket categoria_age categoria_fare
NaiveBayes,20200624-204909,prediccion,0.647,0.889,0.068,0.127,SibSp Parch clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket categoria_age categoria_fare
NaiveBayes,20200624-205227,prediccion,0.647,0.889,0.068,0.127,SibSp Parch clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket categoria_age categoria_fare
NaiveBayes,20200624-205242,prediccion,0.647,0.889,0.068,0.127,SibSp Parch clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket categoria_age categoria_fare
NaiveBayes,20200624-205542,prediccion,0.647,0.889,0.068,0.127,SibSp Parch clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket categoria_age categoria_fare
NaiveBayes,20200624-205701,prediccion,0.647,0.889,0.068,0.127,SibSp Parch clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket categoria_age categoria_fare
NaiveBayes,20200624-205732,prediccion,0.647,0.889,0.068,0.127,SibSp Parch clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket categoria_age categoria_fare
NaiveBayes,20200624-210237,prediccion,0.647,0.889,0.068,0.127,SibSp Parch clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket categoria_age categoria_fare
NaiveBayes,20200624-210308,prediccion,0.647,0.889,0.068,0.127,SibSp Parch clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket categoria_age categoria_fare
NaiveBayes,20200624-210356,prediccion,0.647,0.889,0.068,0.127,SibSp Parch clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket categoria_age categoria_fare
NaiveBayes,20200624-210446,prediccion,0.647,0.889,0.068,0.127,SibSp Parch clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket categoria_age categoria_fare
NaiveBayes,20200624-210520,prediccion,0.647,0.889,0.068,0.127,SibSp Parch clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket categoria_age categoria_fare
NaiveBayes,20200624-210552,prediccion,0.647,0.889,0.068,0.127,SibSp Parch clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket categoria_age categoria_fare
NaiveBayes,20200624-210955,prediccion,0.647,0.889,0.068,0.127,SibSp Parch clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket categoria_age categoria_fare
NaiveBayes,20200624-211229,prediccion,0.647,0.889,0.068,0.127,SibSp Parch clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket categoria_age categoria_fare
NaiveBayes,20200624-211341,prediccion,0.647,0.889,0.068,0.127,SibSp Parch clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket categoria_age categoria_fare
NaiveBayes,20200624-211355,prediccion,0.647,0.889,0.068,0.127,SibSp Parch clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket categoria_age categoria_fare
NaiveBayes,20200624-211431,prediccion,0.712,0.911,0.323,0.477,SibSp Parch clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket categoria_age categoria_fare
NaiveBayes,20200624-211442,prediccion,0.742,0.892,0.337,0.489,SibSp Parch clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket categoria_age categoria_fare
NaiveBayes,20200624-211445,prediccion,0.74,0.891,0.35,0.503,SibSp Parch clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket categoria_age categoria_fare
NaiveBayes,20200624-212133,prediccion,0.74,0.891,0.35,0.503,SibSp Parch clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket categoria_age categoria_fare
NaiveBayes,20200624-212237,prediccion,0.74,0.891,0.35,0.503,SibSp Parch clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket categoria_age categoria_fare
NaiveBayes,20200624-212321,prediccion,0.74,0.891,0.35,0.503,SibSp Parch clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket categoria_age categoria_fare
NaiveBayes,20200624-212346,prediccion,0.74,0.891,0.35,0.503,SibSp Parch clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket categoria_age categoria_fare
NaiveBayes,20200624-212406,prediccion,0.74,0.891,0.35,0.503,SibSp Parch clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket categoria_age categoria_fare
NaiveBayes,20200624-212513,prediccion,0.74,0.891,0.35,0.503,SibSp Parch clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket categoria_age categoria_fare
NaiveBayes,20200624-212823,prediccion,0.74,0.891,0.35,0.503,SibSp Parch clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket categoria_age categoria_fare
NaiveBayes,20200625-093322,prediccion,0.654,0.952,0.157,0.27,SibSp Parch clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket categoria_age categoria_fare
NaiveBayes,20200625-101723,prediccion,0.657,0.955,0.165,0.282,SibSp Parch clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket categoria_age categoria_fare
NaiveBayes,20200625-101806,prediccion,0.685,1.0,0.143,0.25,SibSp Parch clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket categoria_age categoria_fare
NaiveBayes,20200625-101815,prediccion,0.683,0.95,0.162,0.277,SibSp Parch clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket categoria_age categoria_fare
NaiveBayes,20200625-102005,prediccion,0.683,0.95,0.162,0.277,SibSp Parch clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket categoria_age categoria_fare
NaiveBayes,20200625-102202,prediccion,0.683,0.95,0.162,0.277,SibSp Parch clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket categoria_age categoria_fare
NaiveBayes,20200625-102321,prediccion,0.683,0.95,0.162,0.277,SibSp Parch clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket categoria_age categoria_fare
NaiveBayes,20200625-102441,prediccion,0.683,0.95,0.162,0.277,SibSp Parch clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket categoria_age categoria_fare
NaiveBayes,20200625-105754,prediccion,0.685,1.0,0.143,0.25,SibSp Parch clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket categoria_age categoria_fare
NaiveBayes,20200625-105811,prediccion,0.683,0.95,0.162,0.277,SibSp Parch clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket categoria_age categoria_fare
NaiveBayes,20200625-110545,prediccion,0.683,0.95,0.162,0.277,SibSp Parch clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket categoria_age categoria_fare
NaiveBayes,20200625-110713,prediccion,0.683,0.95,0.162,0.277,SibSp Parch clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket categoria_age categoria_fare
NaiveBayes,20200625-110828,prediccion,0.683,0.95,0.162,0.277,SibSp Parch clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket categoria_age categoria_fare
NaiveBayes,20200625-111041,prediccion,0.683,0.95,0.162,0.277,SibSp Parch clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket categoria_age categoria_fare
NaiveBayes,20200625-111438,prediccion,0.66,0.92,0.181,0.303,SibSp Parch clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket categoria_age categoria_fare
NaiveBayes,20200625-111450,prediccion,0.674,0.867,0.133,0.23,SibSp Parch clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket categoria_age categoria_fare
NaiveBayes,20200625-111453,prediccion,0.692,0.92,0.197,0.324,SibSp Parch clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket categoria_age categoria_fare
NaiveBayes,20200625-115146,prediccion,0.596,0.667,0.016,0.031,SibSp Parch clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket categoria_age categoria_fare
NaiveBayes,20200625-115158,prediccion,0.637,1.0,0.01,0.02,SibSp Parch clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket categoria_age categoria_fare
