Nombre,TimeStamp,Tipo_Registro,Parametros,Accuracy,Precision,Recall,F1_Score,Variables
DecisionTree,20200624-180816,entrenamiento,{prof_max:5 muestras_min:50},0.866,0.787,0.828,0.807,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
DecisionTree,20200624-193343,entrenamiento,{prof_max:5 muestras_min:50},0.866,0.787,0.828,0.807,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
DecisionTree,20200624-200439,entrenamiento,{prof_max:5 muestras_min:50},0.86,0.839,0.754,0.794,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
DecisionTree,20200624-211427,entrenamiento,{prof_max:5 muestras_min:50},0.888,0.914,0.78,0.842,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
DecisionTree,20200625-093304,entrenamiento,{prof_max:5 muestras_min:50},0.856,0.884,0.685,0.772,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
DecisionTree,20200625-101636,entrenamiento,{prof_max:5 muestras_min:50},0.882,0.969,0.696,0.81,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
DecisionTree,20200625-110649,entrenamiento,{prof_max:10 muestras_min:50},0.89,0.963,0.724,0.826,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
DecisionTree,20200625-110750,entrenamiento,{prof_max:10 muestras_min:75},0.874,0.968,0.674,0.795,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
DecisionTree,20200625-110918,entrenamiento,{prof_max:15 muestras_min:75},0.874,0.968,0.674,0.795,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
DecisionTree,20200625-110949,entrenamiento,{prof_max:15 muestras_min:100},0.828,0.928,0.569,0.705,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
DecisionTree,20200625-110958,entrenamiento,{prof_max:15 muestras_min:50},0.89,0.963,0.724,0.826,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
DecisionTree,20200625-111425,entrenamiento,{prof_max:15 muestras_min:50},0.868,0.823,0.814,0.819,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
DecisionTree,20200625-115131,entrenamiento,{prof_max:15 muestras_min:50},0.872,0.904,0.705,0.792,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
DecisionTree,20200625-115718,entrenamiento,{prof_max:20 muestras_min:30},0.904,0.883,0.832,0.857,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
DecisionTree,20200625-115911,entrenamiento,{prof_max:15 muestras_min:50},0.872,0.904,0.705,0.792,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
DecisionTree,20200625-120025,entrenamiento,{prof_max:10 muestras_min:75},0.844,0.906,0.613,0.731,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
DecisionTree,20200625-121016,entrenamiento,{prof_max:10 muestras_min:100},0.814,0.955,0.486,0.644,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
DecisionTree,20200625-121123,entrenamiento,{prof_max:20 muestras_min:25},0.914,0.911,0.832,0.87,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
DecisionTree,20200625-121439,entrenamiento,{prof_max:20 muestras_min:75},0.844,0.906,0.613,0.731,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
DecisionTree,20200625-121650,entrenamiento,{prof_max:20 muestras_min:75},0.83,0.728,0.885,0.799,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
DecisionTree,20200626-104329,entrenamiento,{prof_max:20 muestras_min:75},0.838,0.928,0.645,0.761,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
DecisionTree,20200626-105646,entrenamiento,{prof_max:20 muestras_min:75},0.856,0.818,0.801,0.81,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
DecisionTree,20200626-105854,entrenamiento,{prof_max:20 muestras_min:75},0.796,0.931,0.535,0.679,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
DecisionTree,20200629-093853,entrenamiento,{prof_max:20 muestras_min:75},0.842,0.94,0.602,0.734,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
DecisionTree,20200629-094243,entrenamiento,{prof_max:30 muestras_min:75},0.842,0.94,0.602,0.734,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
DecisionTree,20200629-094353,entrenamiento,{prof_max:40 muestras_min:75},0.842,0.94,0.602,0.734,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
DecisionTree,20200629-094425,entrenamiento,{prof_max:20 muestras_min:25},0.918,0.889,0.884,0.886,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
DecisionTree,20200629-094529,entrenamiento,{prof_max:20 muestras_min:30},0.904,0.88,0.851,0.865,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
DecisionTree,20200629-094625,entrenamiento,{prof_max:20 muestras_min:40},0.904,0.88,0.851,0.865,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
DecisionTree,20200629-094649,entrenamiento,{prof_max:20 muestras_min:50},0.89,0.899,0.785,0.838,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
