Nombre,TimeStamp,Tipo_Registro,Parametros,Accuracy,Precision,Recall,F1_Score,Variables
DecisionTree,20200624-180540,entrenamiento,{prof_max:5 muestras_min:50},0.76,0.703,0.709,0.706,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
DecisionTree,20200624-193702,entrenamiento,{prof_max:5 muestras_min:50},0.76,0.703,0.709,0.706,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
DecisionTree,20200624-200439,entrenamiento,{prof_max:5 muestras_min:50},0.801,0.793,0.693,0.739,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
DecisionTree,20200624-200502,entrenamiento,{prof_max: muestras_min:},0.846,0.828,0.735,0.778,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
DecisionTree,20200624-201952,entrenamiento,{prof_max: muestras_min:},0.846,0.828,0.735,0.778,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
DecisionTree,20200624-202652,entrenamiento,{prof_max: muestras_min:},0.846,0.828,0.735,0.778,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
DecisionTree,20200624-203759,entrenamiento,{prof_max: muestras_min:},0.779,0.731,0.65,0.688,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
DecisionTree,20200624-203858,entrenamiento,{prof_max: muestras_min:},0.779,0.731,0.65,0.688,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
DecisionTree,20200624-203954,entrenamiento,{prof_max: muestras_min:},0.779,0.731,0.65,0.688,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
DecisionTree,20200624-204053,entrenamiento,{prof_max:5 muestras_min:50},0.801,0.793,0.693,0.739,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
DecisionTree,20200624-204349,entrenamiento,{prof_max: muestras_min:},0.846,0.828,0.735,0.778,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
DecisionTree,20200624-204420,entrenamiento,{prof_max: muestras_min:},0.846,0.828,0.735,0.778,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
DecisionTree,20200624-204437,entrenamiento,{prof_max: muestras_min:},0.779,0.731,0.65,0.688,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
DecisionTree,20200624-204906,entrenamiento,{prof_max: muestras_min:},0.779,0.731,0.65,0.688,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
DecisionTree,20200624-204959,entrenamiento,{prof_max: muestras_min:},0.779,0.731,0.65,0.688,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
DecisionTree,20200624-205224,entrenamiento,{prof_max: muestras_min:},0.779,0.731,0.65,0.688,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
DecisionTree,20200624-205239,entrenamiento,{prof_max: muestras_min:},0.779,0.731,0.65,0.688,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
DecisionTree,20200624-205538,entrenamiento,{prof_max: muestras_min:},0.779,0.731,0.65,0.688,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
DecisionTree,20200624-205658,entrenamiento,{prof_max: muestras_min:},0.779,0.731,0.65,0.688,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
DecisionTree,20200624-205729,entrenamiento,{prof_max: muestras_min:},0.779,0.731,0.65,0.688,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
DecisionTree,20200624-205759,entrenamiento,{prof_max: muestras_min:},0.779,0.731,0.65,0.688,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
DecisionTree,20200624-205811,entrenamiento,{prof_max: muestras_min:},0.779,0.731,0.65,0.688,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
DecisionTree,20200624-210234,entrenamiento,{prof_max: muestras_min:},0.779,0.731,0.65,0.688,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
DecisionTree,20200624-210305,entrenamiento,{prof_max: muestras_min:},0.779,0.731,0.65,0.688,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
DecisionTree,20200624-210353,entrenamiento,{prof_max: muestras_min:},0.779,0.731,0.65,0.688,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
DecisionTree,20200624-210443,entrenamiento,{prof_max: muestras_min:},0.779,0.731,0.65,0.688,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
DecisionTree,20200624-210517,entrenamiento,{prof_max: muestras_min:},0.779,0.731,0.65,0.688,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
DecisionTree,20200624-210549,entrenamiento,{prof_max: muestras_min:},0.779,0.731,0.65,0.688,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
DecisionTree,20200624-210952,entrenamiento,{prof_max: muestras_min:},0.779,0.731,0.65,0.688,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
DecisionTree,20200624-211226,entrenamiento,{prof_max: muestras_min:},0.779,0.731,0.65,0.688,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
DecisionTree,20200624-211338,entrenamiento,{prof_max: muestras_min:},0.779,0.731,0.65,0.688,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
DecisionTree,20200624-211352,entrenamiento,{prof_max: muestras_min:},0.779,0.731,0.65,0.688,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
DecisionTree,20200624-211427,entrenamiento,{prof_max:5 muestras_min:50},0.772,0.786,0.606,0.684,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
