Nombre,TimeStamp,Tipo_Registro,Parametros,Accuracy,Precision,Recall,F1_Score,Variables
LogisticRegression,20200625-100930,prediccion,{Learning Rate:0.0015 Iteraciones:600 Lambda:0.0003 L:2.0 Batch Size:32},0.808,0.838,0.654,0.735,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
LogisticRegression,20200625-101800,prediccion,{Learning Rate:0.0015 Iteraciones:600 Lambda:0.0003 L:2.0 Batch Size:32},0.769,0.899,0.488,0.633,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
LogisticRegression,20200625-101806,prediccion,{Learning Rate: Iteraciones: Lambda: L: Batch Size:},0.76,0.84,0.429,0.568,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
LogisticRegression,20200625-101815,prediccion,{Learning Rate: Iteraciones: Lambda: L: Batch Size:},0.766,0.867,0.444,0.588,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
LogisticRegression,20200625-102005,prediccion,{Learning Rate: Iteraciones: Lambda: L: Batch Size:},0.766,0.867,0.444,0.588,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
LogisticRegression,20200625-102202,prediccion,{Learning Rate: Iteraciones: Lambda: L: Batch Size:},0.766,0.867,0.444,0.588,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
LogisticRegression,20200625-102321,prediccion,{Learning Rate: Iteraciones: Lambda: L: Batch Size:},0.766,0.867,0.444,0.588,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
LogisticRegression,20200625-102441,prediccion,{Learning Rate: Iteraciones: Lambda: L: Batch Size:},0.766,0.867,0.444,0.588,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
LogisticRegression,20200625-103236,prediccion,{Learning Rate:0.0015 Iteraciones:600 Lambda:0.0003 L:2.0 Batch Size:32},0.769,0.899,0.488,0.633,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
LogisticRegression,20200625-103324,prediccion,{Learning Rate:0.0015 Iteraciones:600 Lambda:0.0003 L:2.0 Batch Size:32},0.769,0.899,0.488,0.633,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
LogisticRegression,20200625-103441,prediccion,{Learning Rate:0.0015 Iteraciones:600 Lambda:0.0002 L:2.0 Batch Size:32},0.769,0.899,0.488,0.633,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
LogisticRegression,20200625-103527,prediccion,{Learning Rate:0.0015 Iteraciones:600 Lambda:0.0001 L:2.0 Batch Size:32},0.756,0.892,0.457,0.604,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
LogisticRegression,20200625-103748,prediccion,{Learning Rate:0.0015 Iteraciones:600 Lambda:0.001 L:2.0 Batch Size:32},0.792,0.919,0.535,0.677,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
LogisticRegression,20200625-104224,prediccion,{Learning Rate:0.0015 Iteraciones:600 Lambda:0.0003 L:1.0 Batch Size:32},0.76,0.894,0.465,0.611,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
LogisticRegression,20200625-104258,prediccion,{Learning Rate:0.0015 Iteraciones:600 Lambda:0.0003 L:1.0 Batch Size:32},0.76,0.906,0.457,0.607,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
LogisticRegression,20200625-104307,prediccion,{Learning Rate:0.0015 Iteraciones:600 Lambda:0.0002 L:1.0 Batch Size:32},0.76,0.906,0.457,0.607,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
LogisticRegression,20200625-104430,prediccion,{Learning Rate:0.0015 Iteraciones:600 Lambda:0.0001 L:1.0 Batch Size:32},0.76,0.906,0.457,0.607,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
LogisticRegression,20200625-104447,prediccion,{Learning Rate:0.0015 Iteraciones:600 Lambda:0.0001 L:1.0 Batch Size:32},0.76,0.906,0.457,0.607,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
LogisticRegression,20200625-104551,prediccion,{Learning Rate:0.0015 Iteraciones:600 Lambda:0.001 L:1.0 Batch Size:32},0.772,0.9,0.496,0.64,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
LogisticRegression,20200625-104921,prediccion,{Learning Rate:0.0015 Iteraciones:600 Lambda:0.0015 L:2.0 Batch Size:32},0.801,0.922,0.559,0.696,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
LogisticRegression,20200625-105008,prediccion,{Learning Rate:0.0015 Iteraciones:600 Lambda:0.0015 L:2.0 Batch Size:32},0.792,0.919,0.535,0.677,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
LogisticRegression,20200625-105017,prediccion,{Learning Rate:0.0015 Iteraciones:600 Lambda:0.002 L:2.0 Batch Size:32},0.792,0.919,0.535,0.677,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
LogisticRegression,20200625-105141,prediccion,{Learning Rate:0.0015 Iteraciones:600 Lambda:0.0015 L:2.0 Batch Size:32},0.801,0.922,0.559,0.696,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
LogisticRegression,20200625-105748,prediccion,{Learning Rate:0.0015 Iteraciones:600 Lambda:0.0015 L:2.0 Batch Size:32},0.801,0.922,0.559,0.696,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
LogisticRegression,20200625-105754,prediccion,{Learning Rate: Iteraciones: Lambda: L: Batch Size:},0.779,0.868,0.469,0.609,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
LogisticRegression,20200625-105811,prediccion,{Learning Rate: Iteraciones: Lambda: L: Batch Size:},0.788,0.859,0.521,0.649,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
