Nombre,TimeStamp,Tipo_Registro,Parametros,Accuracy,Precision,Recall,F1_Score,Variables
SVM,20200624-181806,entrenamiento,{Factor C Regularizacion:1},0.808,0.796,0.661,0.723,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
SVM,20200624-181849,entrenamiento,{Factor C Regularizacion:1},0.808,0.796,0.661,0.723,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
SVM,20200624-194019,entrenamiento,{Factor C Regularizacion:1},0.808,0.796,0.661,0.723,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
SVM,20200624-200444,entrenamiento,{Factor C Regularizacion:1},0.78,0.69,0.674,0.682,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
SVM,20200624-211427,entrenamiento,{Factor C Regularizacion:1},0.802,0.762,0.684,0.721,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
SVM,20200625-093309,entrenamiento,{Factor C Regularizacion:1},0.802,0.741,0.696,0.718,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
SVM,20200625-101710,entrenamiento,{Factor C Regularizacion:1},0.792,0.775,0.646,0.705,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
SVM,20200625-105951,entrenamiento,{Factor C Regularizacion:2},0.792,0.775,0.646,0.705,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
SVM,20200625-110029,entrenamiento,{Factor C Regularizacion:3},0.792,0.775,0.646,0.705,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
SVM,20200625-110052,entrenamiento,{Factor C Regularizacion:0.1},0.792,0.775,0.646,0.705,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
SVM,20200625-110137,entrenamiento,{Factor C Regularizacion:0.01},0.736,0.806,0.411,0.545,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
SVM,20200625-110153,entrenamiento,{Factor C Regularizacion:0.001},0.62,0.538,0.073,0.128,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
SVM,20200625-110228,entrenamiento,{Factor C Regularizacion:5},0.792,0.775,0.646,0.705,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
SVM,20200625-110355,entrenamiento,{Factor C Regularizacion:1},0.792,0.775,0.646,0.705,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
SVM,20200625-110421,entrenamiento,{Factor C Regularizacion:0.5},0.792,0.775,0.646,0.705,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
SVM,20200625-110505,entrenamiento,{Factor C Regularizacion:2},0.792,0.775,0.646,0.705,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
SVM,20200625-111435,entrenamiento,{Factor C Regularizacion:2},0.774,0.652,0.656,0.654,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
SVM,20200625-115143,entrenamiento,{Factor C Regularizacion:2},0.802,0.697,0.726,0.711,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
SVM,20200625-120530,entrenamiento,{Factor C Regularizacion:6},0.802,0.697,0.726,0.711,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
SVM,20200625-120554,entrenamiento,{Factor C Regularizacion:0.3},0.806,0.708,0.72,0.714,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
SVM,20200625-121650,entrenamiento,{Factor C Regularizacion:0.3},0.8,0.724,0.655,0.688,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
SVM,20200626-104332,entrenamiento,{Factor C Regularizacion:0.3},0.78,0.705,0.632,0.667,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
SVM,20200626-105650,entrenamiento,{Factor C Regularizacion:0.3},0.816,0.76,0.727,0.743,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
SVM,20200626-105858,entrenamiento,{Factor C Regularizacion:0.3},0.786,0.776,0.683,0.726,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
SVM,20200629-093855,entrenamiento,{Factor C Regularizacion:0.3},0.812,0.728,0.719,0.724,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
SVM,20200629-094915,entrenamiento,{Factor C Regularizacion:0.4},0.816,0.731,0.731,0.731,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
SVM,20200629-095000,entrenamiento,{Factor C Regularizacion:0.5},0.816,0.731,0.731,0.731,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
SVM,20200629-095045,entrenamiento,{Factor C Regularizacion:0.8},0.816,0.731,0.731,0.731,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
SVM,20200629-095122,entrenamiento,{Factor C Regularizacion:0.1},0.812,0.728,0.719,0.724,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
SVM,20200629-095153,entrenamiento,{Factor C Regularizacion:0.01},0.748,0.846,0.322,0.466,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
SVM,20200629-095409,entrenamiento,{Factor C Regularizacion:0.01},0.658,0.0,0.0,0.0,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
