Nombre,TimeStamp,Tipo_Registro,Parametros,Accuracy,Precision,Recall,F1_Score,Variables
SVM,20200624-183929,entrenamiento,{Factor C Regularizacion:1},0.808,0.786,0.724,0.754,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
SVM,20200624-184002,entrenamiento,{Factor C Regularizacion:1},0.808,0.786,0.724,0.754,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
SVM,20200624-194150,entrenamiento,{Factor C Regularizacion:1},0.808,0.786,0.724,0.754,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
SVM,20200624-200444,entrenamiento,{Factor C Regularizacion:1},0.795,0.765,0.717,0.74,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
SVM,20200624-200502,entrenamiento,{Factor C Regularizacion:},0.79,0.728,0.684,0.705,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
SVM,20200624-201952,entrenamiento,{Factor C Regularizacion:},0.79,0.728,0.684,0.705,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
SVM,20200624-202652,entrenamiento,{Factor C Regularizacion:},0.79,0.728,0.684,0.705,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
SVM,20200624-203759,entrenamiento,{Factor C Regularizacion:},0.776,0.716,0.667,0.69,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
SVM,20200624-203858,entrenamiento,{Factor C Regularizacion:},0.776,0.716,0.667,0.69,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
SVM,20200624-203954,entrenamiento,{Factor C Regularizacion:},0.776,0.716,0.667,0.69,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
SVM,20200624-204149,entrenamiento,{Factor C Regularizacion:1},0.795,0.765,0.717,0.74,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
SVM,20200624-204349,entrenamiento,{Factor C Regularizacion:},0.79,0.728,0.684,0.705,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
SVM,20200624-204420,entrenamiento,{Factor C Regularizacion:},0.79,0.728,0.684,0.705,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
